Session,Inst Name,Tala,Label,Matra,Half beat,Half,Misc 1,Misc 2,Cadence,Tabla solo,Inst,Tabla,Inst Density,Tabla Density,Inst Peak,Tabla Peak,Inst Player,Tabla Player ,Chunk
AnuBh_Drut,Sitar,Drut teental,6|15,15,On,1,Gat,,,N,2418.719177,2418.740062,7.5,6,0.315754,0.048725,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,6|16,16,On,1,Gat,,,N,2418.976207,2418.98207,7.5,6,0.135957,0.098006,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|1,1,On,1,Gat,,,N,2419.180548,2419.213449,8,6,0.085451,0.205417,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|2,2,On,1,Gat,,,N,2419.431814,2419.468275,7.5,6,0.06059,0.012794,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|3,3,On,1,Gat,,,N,2419.689956,2419.711618,7.5,6,0.078095,0.038526,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|4,4,On,1,Gat,,,N,2420.008939,2419.959938,7.5,6,0.396141,0.13069,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|5,5,On,1,Gat,,,N,2420.270363,2420.204242,8,5.5,0.251108,0.15716,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|6,6,On,1,Gat,,,N,2420.489918,2420.458587,8.5,5,0.349793,0.012544,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|7,7,On,1,Gat,,,N,2420.755853,2420.693294,8,5.5,0.555553,0.03173,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|8,8,On,1,Gat,,,N,2420.993694,2420.953653,8,5.5,0.255448,0.084729,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|9,9,On,1,Gat,,,N,2421.295546,2421.208168,8,5.5,0.41665,0.1737,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|10,10,On,1,Gat,,,N,,2421.456649,,6,,0.035342,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|11,11,On,1,Gat,,,N,,2421.734357,,5.5,,0.052981,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|12,12,On,1,Gat,,,N,2422.011029,2422.00104,7.5,5.5,0.292962,0.156164,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|13,13,On,1,Gat,,,N,2422.239951,2422.23141,8,5.5,0.057483,0.03039,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|14,14,On,1,Gat,,,N,2422.481803,2422.463874,8,6,0.075963,0.030469,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|15,15,On,1,Gat,,,N,2422.718038,2422.721384,8.5,5.5,0.286268,0.026446,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,7|16,16,On,1,Gat,,,N,2423.012569,2422.980523,8,5.5,0.129618,0.127194,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|1,1,On,1,Gat,,,N,2423.22363,2423.225037,8,5.5,0.278737,0.19748,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|2,2,On,1,Gat,,,N,2423.467751,2423.469918,8,5,0.472707,0.014192,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|3,3,On,1,Gat,,,N,,2423.706636,,5.5,,0.013489,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|4,4,On,1,Gat,,,N,2423.928575,2423.96186,9,5.5,0.208695,0.177635,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|5,5,On,1,Gat,,,N,2424.184826,2424.196457,8.5,5.5,0.151363,0.00685,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|6,6,On,1,Gat,,,N,,2424.448461,,5.5,,0.036892,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|7,7,On,1,Gat,,,N,2424.662557,2424.700981,8,6,0.427424,0.031476,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|8,8,On,1,Gat,,,N,2424.939511,2424.94063,8,6,0.141783,0.23907,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|9,9,On,1,Gat,,,N,2425.174904,2425.181676,8,6,0.204812,0.162355,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|10,10,On,1,Gat,,,N,2425.473737,2425.426229,7.5,6.5,0.137386,0.030816,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|11,11,On,1,Gat,,,N,2425.73006,2425.686592,7.5,6,0.059452,0.061232,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|12,12,On,1,Gat,,,N,2425.917417,2425.935731,7.5,6,0.443982,0.283091,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|13,13,On,1,Gat,,,N,,2426.167081,,6,,0.00916,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|14,14,On,1,Gat,,,N,2426.415281,2426.390265,7,6,0.394631,0.030715,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|15,15,On,1,Gat,,,N,,2426.650899,,6,,0.026357,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,8|16,16,On,1,Gat,,,N,,2426.896637,,6,,0.079105,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,9|1,1,On,1,Gat,,,N,2427.181258,2427.128776,7,6,0.40649,0.223782,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,9|2,2,On,1,Gat,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,9|3,3,On,1,Gat,,,N,2427.619061,2427.637442,7.5,5.5,0.275872,0.005963,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,9|4,4,On,1,Gat,,,N,2427.907833,2427.917303,8.5,5.5,0.407169,0.126677,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,9|5,5,On,1,Gat,,,N,,2428.152694,,5.5,,0.159411,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,9|6,6,On,1,Gat,,,N,2428.414377,2428.387382,9,5,0.26476,0.0168,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,9|7,7,On,1,Gat,,,N,2428.659872,2428.629223,8.5,4.5,0.495778,0.056079,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,9|8,8,On,1,Gat,,,N,2428.940084,2428.882593,8.5,5,0.233971,0.1739,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,9|9,9,On,1,Gat,,,N,2429.127489,2429.13782,9,4.5,0.459307,0.192368,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,9|10,10,On,1,Gat,,,N,2429.430171,2429.400308,8.5,4.5,0.251168,0.048606,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,9|11,11,On,1,Gat,,,N,2429.605178,2429.618949,9,5.5,0.300664,0.122951,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,9|12,12,On,1,Gat,,,N,2429.880675,2429.863123,8.5,5.5,0.254215,0.210854,Anupama Bhagwat,Gurdain Rayatt,2K
